race_id,driver_id,start_pos,gap_to_pole,cs_driver_results_missing,cs_driver_standing,cs_driver_podium_rate,csa_pos_change,csa_finish_pos,p3s_driver_results_missing,p3sa_pos_change_same_circuit,p3sa_finish_pos_same_circuit,cs_const_results_missing,cs_const_standing,cs_const_podium_rate,circuit_avg_pos_change,finish_pos
244,87,10,0.311,0,11,0.0,3.0,6.0,1,0.0,0.0,0,4,0.0,1.33,5
244,49,14,0.387,0,8,0.0,5.33,6.33,1,0.0,0.0,0,5,0.0,4.44,6
244,94,18,0.517,0,22,0.0,5.5,13.0,1,0.0,0.0,0,13,0.0,4.75,7
244,96,19,0.542,1,0,0.0,0.0,0.0,1,0.0,0.0,0,5,0.0,7.0,8
244,81,13,0.364,0,21,0.0,0.5,12.0,1,0.0,0.0,0,12,0.0,3.36,9
244,64,22,0.76,0,19,0.0,15.0,10.0,1,0.0,0.0,0,11,0.0,10.4,10
245,55,5,0.111,0,4,0.67,2.67,3.0,0,-1.0,3.0,0,3,0.75,-1.36,1
245,22,9,0.206,0,14,0.0,1.0,7.0,0,-1.0,7.0,0,6,0.0,1.73,2
245,56,8,0.186,0,10,0.0,0.0,6.5,1,0.0,0.0,0,6,0.0,1.36,3
245,44,11,0.293,0,11,0.0,7.67,7.33,0,7.0,12.0,0,7,0.0,1.79,4
245,30,1,0.0,0,1,1.0,0.5,1.5,0,0.0,1.0,0,1,0.62,-0.69,5
245,81,13,0.341,0,18,0.0,1.67,11.0,1,0.0,0.0,0,10,0.0,3.5,6
245,63,15,0.409,0,12,0.0,4.0,8.5,1,0.0,0.0,0,8,0.0,4.75,7
245,69,19,0.573,0,26,0.0,6.0,14.0,1,0.0,0.0,0,9,0.0,5.92,8
245,89,22,0.729,1,0,0.0,0.0,0.0,1,0.0,0.0,0,10,0.0,11.83,9
245,84,14,0.354,0,20,0.0,2.0,9.0,1,0.0,0.0,0,7,0.0,2.2,10
245,77,4,0.072,0,3,0.8,0.8,3.6,0,-1.0,4.0,0,3,0.75,-1.25,11
246,30,2,0.038,0,1,0.8,-0.4,2.2,0,2.0,1.0,0,1,0.56,-0.25,1
246,71,1,0.0,0,2,0.75,1.0,2.0,0,-1.0,2.0,0,3,0.67,-0.56,2
246,14,3,0.092,0,6,0.5,0.0,3.0,1,0.0,0.0,0,3,0.67,-0.67,3
246,84,9,0.283,0,20,0.0,3.0,9.5,1,0.0,0.0,0,6,0.0,2.0,4
246,55,4,0.201,0,3,0.75,3.0,2.5,1,0.0,0.0,0,2,0.7,-1.14,5
246,22,5,0.207,0,7,0.5,4.0,4.5,1,0.0,0.0,0,4,0.4,0.0,6
246,57,8,0.263,0,9,0.0,2.0,4.5,1,0.0,0.0,0,5,0.0,0.17,7
246,44,6,0.238,0,10,0.0,7.5,6.5,1,0.0,0.0,0,6,0.0,-2.29,8
246,56,11,0.343,0,8,0.33,1.67,5.33,1,0.0,0.0,0,4,0.4,1.44,9
246,49,12,0.404,0,11,0.0,6.0,6.25,0,6.0,4.0,0,7,0.0,1.71,10
246,87,13,0.432,0,12,0.0,4.0,5.5,0,7.0,10.0,0,5,0.0,3.67,11
246,77,7,0.239,0,4,0.67,-0.5,4.83,0,2.0,3.0,0,2,0.7,-0.2,12
246,69,17,0.536,0,17,0.0,8.5,11.0,1,0.0,0.0,0,10,0.0,3.0,13
246,81,16,0.504,0,13,0.0,3.0,9.75,1,0.0,0.0,0,8,0.0,4.67,14
246,63,14,0.467,0,14,0.0,5.33,8.0,1,0.0,0.0,0,9,0.0,1.0,15
246,90,24,1.0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,13,0.0,8.0,16
247,65,5,0.072,0,6,0.25,4.0,4.25,0,10.0,11.0,0,1,0.6,0.16,1
247,55,6,0.072,0,3,0.6,2.2,3.0,0,2.0,2.0,0,3,0.58,-0.84,2
247,14,3,0.034,0,5,0.67,0.0,3.0,0,2.0,5.0,0,2,0.75,-0.95,3
247,44,13,0.153,0,10,0.0,5.6,6.8,0,3.0,12.0,0,6,0.0,2.41,4
247,87,10,0.096,0,13,0.0,3.33,7.33,1,0.0,0.0,0,5,0.0,0.71,5
247,49,12,0.143,0,11,0.0,5.2,7.0,0,6.0,7.0,0,7,0.0,2.61,6
247,94,15,0.17,0,16,0.0,7.33,11.0,0,4.0,10.0,0,10,0.0,2.73,7
247,63,23,0.845,0,15,0.0,3.75,9.75,1,0.0,0.0,0,9,0.0,8.6,8
247,96,16,0.208,0,19,0.0,11.0,8.0,1,0.0,0.0,0,7,0.0,4.8,9
247,69,18,0.265,0,18,0.0,7.0,11.67,1,0.0,0.0,0,10,0.0,4.29,10
247,22,9,0.092,0,7,0.33,2.33,5.0,0,2.0,4.0,0,4,0.29,0.76,11
247,92,21,0.328,1,0,0.0,0.0,0.0,1,0.0,0.0,0,12,0.0,7.1,12
248,30,2,0.008,0,1,0.83,-0.17,2.0,1,0.0,0.0,0,1,0.64,-0.92,1
248,14,3,0.015,0,5,0.75,0.0,3.0,1,0.0,0.0,0,2,0.78,-0.45,2
248,77,4,0.114,0,6,0.57,-1.14,5.86,0,0.0,1.0,0,3,0.62,-1.71,3
248,65,9,0.188,0,4,0.4,4.0,3.6,1,0.0,0.0,0,1,0.64,-0.27,4
248,96,14,0.317,0,17,0.0,9.0,8.5,1,0.0,0.0,0,7,0.0,3.55,5
248,88,18,0.521,0,19,0.0,6.0,9.5,1,0.0,0.0,0,5,0.0,5.86,6
248,79,17,0.49,0,20,0.0,7.0,8.0,1,0.0,0.0,0,9,0.0,6.69,7
248,85,23,0.889,0,23,0.0,13.0,9.0,1,0.0,0.0,0,12,0.0,7.33,8
248,56,6,0.143,0,9,0.25,1.75,6.25,1,0.0,0.0,0,4,0.25,-0.25,9
249,71,1,0.0,0,2,0.8,0.6,2.0,0,0.0,2.0,0,2,0.8,-1.06,1
249,14,2,0.04,0,5,0.8,0.2,2.8,1,0.0,0.0,0,2,0.8,-1.71,2
249,77,4,0.112,0,6,0.62,-0.88,5.5,0,-8.0,12.0,0,3,0.64,-1.05,3
249,65,9,0.322,0,4,0.33,4.17,3.67,1,0.0,0.0,0,1,0.62,1.86,4
249,49,11,0.358,0,12,0.0,5.33,6.83,1,0.0,0.0,0,7,0.0,2.33,5
249,44,10,0.331,0,8,0.0,6.17,6.33,0,3.0,6.0,0,5,0.0,0.94,6
249,22,14,0.409,0,7,0.25,1.25,6.5,1,0.0,0.0,0,4,0.22,2.73,7
249,69,12,0.371,0,21,0.0,7.25,11.25,1,0.0,0.0,0,10,0.0,2.06,8
249,83,15,0.435,1,0,0.0,0.0,0.0,1,0.0,0.0,0,10,0.0,2.64,9
249,96,19,0.54,0,14,0.0,9.0,7.33,1,0.0,0.0,0,7,0.0,4.08,10
249,30,3,0.06,0,1,0.86,0.0,1.86,0,0.0,1.0,0,1,0.62,-1.72,11
249,85,22,0.771,0,20,0.0,14.0,8.5,1,0.0,0.0,0,11,0.0,6.0,12
250,30,16,0.309,0,1,0.75,-1.0,3.0,1,0.0,0.0,0,1,0.53,5.06,1
250,71,8,0.223,0,2,0.83,0.5,1.83,0,2.0,1.0,0,2,0.83,1.67,2
250,84,13,0.259,0,13,0.0,3.67,7.67,1,0.0,0.0,0,5,0.0,4.0,3
250,49,10,0.248,0,9,0.0,5.43,6.57,1,0.0,0.0,0,7,0.0,3.14,4
250,87,6,0.147,0,12,0.0,3.75,6.75,0,7.0,5.0,0,6,0.0,1.08,5
250,22,12,0.258,0,8,0.2,2.4,6.6,1,0.0,0.0,0,4,0.2,3.73,6
250,65,4,0.112,0,5,0.29,4.29,3.71,0,8.0,12.0,0,1,0.53,-3.19,7
250,63,11,0.253,0,17,0.0,6.0,9.4,1,0.0,0.0,0,9,0.0,0.18,8
250,44,9,0.24,0,7,0.0,5.86,6.29,0,10.0,7.0,0,5,0.0,0.93,9
250,83,17,0.321,0,24,0.0,6.0,9.0,1,0.0,0.0,0,10,0.0,4.79,10
250,96,14,0.262,0,14,0.0,9.0,8.0,1,0.0,0.0,0,7,0.0,3.29,11
250,89,18,0.436,0,23,0.0,13.0,9.0,1,0.0,0.0,0,8,0.0,5.14,12
250,64,24,1.0,0,25,0.0,13.5,10.0,1,0.0,0.0,0,13,0.0,12.0,13
250,90,22,0.622,0,30,0.0,8.0,16.0,1,0.0,0.0,0,13,0.0,5.4,14
251,65,8,0.246,0,5,0.25,3.38,4.12,1,0.0,0.0,0,1,0.53,1.5,1
251,57,7,0.182,0,13,0.0,1.67,5.33,0,4.0,3.0,0,6,0.0,0.0,2
251,49,10,0.26,0,7,0.0,5.5,6.25,1,0.0,0.0,0,7,0.0,1.93,3
251,87,9,0.251,0,11,0.0,3.2,6.4,1,0.0,0.0,0,6,0.0,0.25,4
251,63,16,0.57,0,17,0.0,5.5,9.17,1,0.0,0.0,0,9,0.0,4.94,5
251,96,14,0.534,0,14,0.0,7.8,8.6,1,0.0,0.0,0,7,0.0,2.0,6
251,97,15,0.55,1,0,0.0,0.0,0.0,1,0.0,0.0,0,8,0.0,3.31,7
251,89,20,0.756,0,23,0.0,9.5,10.5,1,0.0,0.0,0,8,0.0,6.25,8
251,64,23,0.954,0,25,0.0,12.67,11.0,1,0.0,0.0,0,13,0.0,7.67,9
251,79,17,0.603,0,19,0.0,8.5,7.5,1,0.0,0.0,0,9,0.0,4.0,10
252,14,1,0.0,0,5,0.83,0.17,2.67,0,1.0,2.0,0,2,0.85,0.0,1
252,30,3,0.062,0,1,0.78,0.78,2.78,1,0.0,0.0,0,1,0.56,1.0,2
252,71,2,0.03,0,2,0.86,1.29,1.86,0,1.0,1.0,0,2,0.85,0.0,3
252,77,4,0.117,0,6,0.67,-0.67,5.22,1,0.0,0.0,0,3,0.67,0.5,4
252,55,7,0.152,0,4,0.67,2.5,2.83,1,0.0,0.0,0,3,0.67,1.5,5
252,49,5,0.138,0,7,0.11,5.67,5.89,1,0.0,0.0,0,5,0.06,-1.0,6
252,65,6,0.146,0,3,0.33,3.78,3.78,0,9.0,11.0,0,1,0.56,-1.0,7
252,84,9,0.168,0,12,0.25,5.25,6.5,0,1.0,6.0,0,6,0.07,1.0,8
252,87,12,0.194,0,9,0.0,3.5,6.0,1,0.0,0.0,0,4,0.09,3.0,9
252,56,10,0.188,0,13,0.2,0.8,6.8,0,6.0,7.0,0,7,0.18,2.5,10
252,22,8,0.164,0,10,0.17,3.0,6.5,0,4.0,4.0,0,7,0.18,0.5,11
252,96,14,0.278,0,14,0.0,7.83,8.17,1,0.0,0.0,0,5,0.06,2.0,12
252,63,15,0.278,0,15,0.0,6.29,8.57,1,0.0,0.0,0,8,0.0,2.0,13
252,69,18,0.347,0,21,0.0,6.6,10.6,1,0.0,0.0,0,10,0.0,5.0,14
252,89,19,0.355,0,22,0.0,10.33,9.67,1,0.0,0.0,0,9,0.0,5.0,15
252,64,22,0.552,0,24,0.0,13.0,10.5,1,0.0,0.0,0,12,0.0,6.0,16
252,90,23,0.571,0,31,0.0,8.0,15.0,1,0.0,0.0,0,12,0.0,7.5,17
253,30,3,0.045,0,1,0.8,0.8,2.7,1,0.0,0.0,0,1,0.55,-0.22,1
253,55,6,0.194,0,5,0.57,2.43,3.14,1,0.0,0.0,0,3,0.59,0.88,2
253,14,1,0.0,0,3,0.86,0.14,2.43,1,0.0,0.0,0,2,0.87,-1.62,3
253,22,11,0.271,0,10,0.14,2.14,7.14,1,0.0,0.0,0,7,0.15,3.14,4
253,65,7,0.21,0,4,0.3,3.3,4.1,1,0.0,0.0,0,1,0.55,0.0,5
253,56,5,0.192,0,13,0.17,0.67,7.33,1,0.0,0.0,0,7,0.15,-1.1,6
253,84,12,0.308,0,12,0.2,4.4,6.8,1,0.0,0.0,0,6,0.06,4.0,7
253,57,9,0.233,0,8,0.25,2.5,4.5,1,0.0,0.0,0,4,0.08,0.29,8
253,83,16,0.504,0,25,0.0,6.5,9.5,1,0.0,0.0,0,10,0.0,4.71,9
253,63,15,0.474,0,15,0.0,5.75,9.12,1,0.0,0.0,0,8,0.0,4.38,10
253,69,18,0.551,0,21,0.0,6.17,11.17,1,0.0,0.0,0,10,0.0,4.25,11
253,97,17,0.543,0,20,0.0,8.0,7.0,1,0.0,0.0,0,9,0.0,4.0,12
253,64,22,0.704,0,24,0.0,11.6,11.6,1,0.0,0.0,0,12,0.0,8.0,13
253,99,19,0.609,1,0,0.0,0.0,0.0,1,0.0,0.0,0,8,0.0,4.6,14
253,98,24,1.0,1,0,0.0,0.0,0.0,1,0.0,0.0,0,11,0.0,9.0,15
254,30,3,0.037,0,1,0.82,0.91,2.55,0,1.0,1.0,0,1,0.55,2.0,1
254,14,1,0.0,0,3,0.88,-0.12,2.5,1,0.0,0.0,0,2,0.88,-1.0,2
254,71,2,0.027,0,2,0.88,1.0,2.0,1,0.0,0.0,0,2,0.88,0.0,3
254,77,5,0.13,0,6,0.6,-0.6,5.1,0,3.0,2.0,0,3,0.61,2.0,4
254,55,4,0.123,0,5,0.62,2.62,3.0,1,0.0,0.0,0,3,0.61,-1.0,5
254,65,7,0.209,0,4,0.27,3.18,4.18,0,16.0,7.0,0,1,0.55,1.0,6
254,49,8,0.209,0,7,0.1,5.0,5.9,0,6.0,5.0,0,6,0.06,3.0,7
254,44,9,0.218,0,11,0.0,5.12,6.62,0,13.0,9.0,0,7,0.06,3.0,8
254,87,10,0.222,0,10,0.0,3.43,6.43,1,0.0,0.0,0,4,0.08,1.0,9
254,76,12,0.315,1,0,0.0,0.0,0.0,1,0.0,0.0,0,4,0.08,2.0,10
254,56,6,0.181,0,13,0.14,0.43,7.14,1,0.0,0.0,0,5,0.13,-5.0,11
254,63,18,0.433,0,15,0.0,5.67,9.22,1,0.0,0.0,0,8,0.0,7.0,12
254,83,14,0.349,0,24,0.0,6.67,9.33,0,16.0,8.0,0,10,0.0,1.0,13
254,79,17,0.406,0,19,0.0,8.0,8.33,1,0.0,0.0,0,8,0.0,3.0,14
254,69,16,0.389,0,21,0.0,6.29,11.14,1,0.0,0.0,0,10,0.0,5.5,15
254,90,22,0.775,0,31,0.0,7.33,15.67,1,0.0,0.0,0,12,0.0,9.5,16
254,64,21,0.753,0,25,0.0,11.17,11.83,1,0.0,0.0,0,12,0.0,4.0,17
255,30,1,0.0,0,1,0.83,1.0,2.42,0,-1.0,2.0,0,1,0.54,-0.78,1
255,57,3,0.001,0,8,0.2,2.2,5.2,0,1.0,7.0,0,4,0.07,-1.07,2
255,65,9,0.003,0,5,0.25,3.0,4.33,1,0.0,0.0,0,1,0.54,0.93,3
255,56,7,0.002,0,13,0.12,-0.25,7.62,0,1.0,5.0,0,5,0.12,-0.56,4
255,44,11,0.003,0,11,0.0,4.67,6.78,0,8.0,11.0,0,7,0.06,1.5,5
255,63,12,0.004,0,15,0.0,5.7,9.5,0,15.0,10.0,0,8,0.0,2.67,6
255,87,23,1.0,0,10,0.0,3.12,6.75,1,0.0,0.0,0,4,0.07,12.0,7
255,49,8,0.002,0,7,0.09,4.64,6.0,0,-3.0,6.0,0,6,0.05,0.93,8
255,69,17,0.006,0,21,0.0,5.62,11.62,1,0.0,0.0,0,10,0.0,4.5,9
255,91,15,0.005,0,31,0.0,7.0,13.0,1,0.0,0.0,0,6,0.05,2.5,10
255,83,16,0.006,0,24,0.0,5.25,10.25,1,0.0,0.0,0,10,0.0,4.3,11
